all genes,,,,,,,,,,,,,,,,,,,
BAC screening 1,,,,,,,,,,,,,,,,,,,
Sample ()*,input pool 1,,output pool 1,,input pool 2,,output pool 2,,input pool 3,,output pool 3,,,,,,,,
A_07_P049007,1,178.8552,1.3101252,196.1824,1,99.32038,2.5003023,197.3274,1,152.2998,1.1876386,167.5067,unknown [L7081],L7081,hypothetical protein,,,3683686,ABH-0244150
A_07_P049011,1,597.2244,1.1240047,562.0195,1,260.7176,2.8132105,582.8128,1,370.9894,1.2733232,437.4704,unknown [L7082],L7082,hypothetical protein,,,3683655,ABH-0244151
A_07_P049018,1,567.2335,1.1358443,539.4192,0.99999994,291.4574,2.5410428,588.4961,1,380.3223,1.3560116,477.5993,unknown [L7083],L7083,hypothetical protein,,,3683656,ABH-0244152
A_07_P049021,1,370.521,1.2011623,372.6149,1,163.5699,2.999651,389.8797,1,201.7887,1.4716735,275.0153,single strand binding protein [L7084],ssb,single-stranded DNA-binding protein,,,3683657,ABH-0244155
A_07_P049027,1,515.4152,1.0204304,440.3381,1,211.2958,2.7539423,462.3834,1,261.3331,1.3984619,338.4493,hypothetical protein [L7085],L7085,hypothetical protein,,,3683658,ABH-0244156
A_07_P049032,1,625.3361,0.97767115,511.8609,1,243.3567,2.667625,515.8514,1,279.2261,1.567723,405.3908,hypothetical protein [L7086],L7086,hypothetical protein,,,3683659,ABH-0244157
A_07_P049039,1,463.2336,1.3698077,531.2578,0.99999994,235.8298,2.6941793,504.8725,1,314.3036,1.4463558,420.9912,putative regulator of SOS induction [L7087],psb1,putative regulator of SOS induction,,,3683660,ABH-0244158
A_07_P049045,0.99999994,446.3171,1.1950707,446.5631,1,203.1696,2.998882,484.144,1,269.3537,1.5348556,382.8591,hypothetical protein [L7088],psiA,hypothetical protein,,,3683661,ABH-0244160
A_07_P049050,1,79.4125,1.2184435,81.01025,1,44.48539,2.6960576,95.30223,1,48.04906,2.8849251,128.3713,hypothetical protein [L7089],flmC,hypothetical protein,,,3683663,ABH-0244164
A_07_P049057,0.99999994,1440.993,1.083644,1307.357,0.99999994,551.5334,3.1919303,1398.884,1,807.1296,1.1633402,869.558,putative nickase [L7091],L7091,putative nickase,,,3683665,ABH-0244166
A_07_P049062,1,217.637,1.2322205,224.5261,1,101.6046,3.269562,263.973,1,119.8654,1.6663922,184.9778,hypothetical protein [L7092],L7092,hypothetical protein,,,3683666,ABH-0244168
A_07_P049070,1,140.3368,1.5808088,185.7362,1,81.75804,2.8258173,183.5824,1,100.1182,1.8174611,168.5104,putative transposase [L7093],L7093,putative transposase,,,3683667,ABH-0244170
A_07_P049075,1,411.6113,1.5835913,545.7278,1,228.7155,3.270197,594.3278,1,314.3751,1.6424073,478.1647,transposase [L7094],L7094,transposase,,,3683648,ABH-0244173
A_07_P049076,1,395.4703,1.5041342,498.0193,0.99999994,184.5697,2.8290806,414.918,1,238.5236,1.48846,328.7888,putative cytotoxin [L7095],L7095,putative cytotoxin,,,3683649,ABH-0244175
A_07_P049085,1,758.8963,1.1361121,721.8539,1,360.3639,2.390865,684.6251,1,437.3964,1.0450563,423.3148,putative transposase [L7096],L7096,putative transposase,,,3683650,ABH-0244179
A_07_P049089,1,6101.728,0.8952592,4573.486,1,4353.841,1.2221837,4228.298,1,4272.595,0.8522669,3372.22,hypothetical protein [L7097],L7097,hypothetical protein,,,3683651,ABH-0244180
A_07_P049094,0.99999994,655.7732,1.5210397,835.1027,1,258.833,3.5578334,731.7485,1,374.0546,1.4265767,494.1726,acetylase for F pilin [L7099],traX,F pilin acetylase,,,3683653,ABH-0244184
A_07_P049098,1,486.4499,1.680209,684.3009,1,229.5649,2.9069533,530.2737,1,301.2184,1.5064659,420.2322,hypothetical protein 31.7 kDa protein in traX-finO intergenic region [L7100],ypt2,31.7 kDa protein in traX-finO intergenic region,,,3683654,ABH-0244186
A_07_P048640,1,0.6536972,3.4552617,1.891051,1,1.96424,0.61620903,0.9617875,1,0.6119002,6.486001,3.675413,predicted protein [],,,,,,ABH-0247450
A_07_P048645,1,0.696605,0.6273989,0.3659115,1,0.8099487,0.8368832,0.5386155,1,0.474878,9.048759,3.979419,predicted protein [],,,,,,ABH-0247451
A_07_P048648,1,0.6794004,0.7675818,0.4366125,1,0.9655508,0.7431307,0.5701601,1,0.5037237,10.034466,4.680962,predicted protein [],,,,,,ABH-0247452
A_07_P048654,1,0.7032498,0.7731673,0.4552278,1,0.899576,0.7336679,0.5244377,1,0.5407487,17.557243,8.792255,predicted protein [],,,,,,ABH-0247453
A_07_P048631,1,0.5478024,1.3190032,0.6049444,1,1.036925,1.4900135,1.227705,1,0.5310595,7.8345256,3.853048,predicted protein [],,,,,,ABH-0247454
A_07_P048542,1,3949.411,0.8998673,2975.476,1,4255.143,0.78323674,2648.279,0.99999994,4136.146,0.6183497,2368.528,ren protein [],,,,,,ABH-0285131
A_07_P051803,1,1619.6,0.74322456,1007.798,1,1549.435,0.96142095,1183.705,1,1737.65,0.7042306,1133.25,predicted protein [],,,,,,ABH-0285132
A_07_P051769,1,1430.316,1.3645402,1634.045,1,1576.356,1.2129432,1519.327,1,1349.468,1.3524503,1690.178,predicted protein [],,,,,,ABH-0285162
A_07_P048532,1,130.1493,0.27020234,29.44263,1,251.6654,0.043939386,8.786865,1,307.6624,0.07337466,20.90591,non-LEE-encoded type III secreted effector [],,,,,,ABH-0285233
A_07_P048575,1,23.94352,3.9664786,79.51311,0.99999994,44.84968,8.179138,291.4899,1,0.6434814,8.786076,5.235757,predicted non-LEE-encoded type III secreted effector [],,,,,,ABH-0285234
A_07_P051740,1,278.3365,1.5484366,360.8355,1,275.4193,1.3829398,302.6594,1,345.5798,0.7262722,232.4322,predicted non-LEE-encoded type III secreted effector pseudogene [],,,,,,ABH-0285236
A_07_P035475,0.99999994,1110.861,1.132221,1053.02,1,889.8381,1.3625711,963.4445,1,793.1222,1.3746908,1009.703,N-terminal fragment of a predicted autotransporter (pseudogene) [c5621],ydbA_1,pseudo,,,1035634,ABR-0077947
A_07_P035479,1,182.0585,1.7637522,268.8402,1,168.7389,1.9714826,264.3411,1,192.1521,1.7007262,302.6412,C-terminal fragment of a predicted autotransporter (pseudogene) [c1831],ydbA_2,pseudo,,,1035635,ABR-0077948
A_07_P035523,1,0.7475366,0.765622,0.4791732,1,0.923453,0.76716286,0.5629358,1,111.7563,0.0480526,4.973218,predicted protein [c5636],,,,,,ABR-0081722
A_07_P035421,1,2544.421,0.7904267,1683.822,1,2419.582,0.82558364,1587.296,0.99999994,2040.977,0.959388,1813.347,toxic membrane protein [],,,,,,ABR-0081747
A_07_P041043,1,2537.029,0.8425446,1789.633,1,2423.017,0.8874163,1708.6,0.99999994,2354.422,0.8679588,1892.483,predicted ferredoxin [],,,,,,ABR-0081751
A_07_P041110,1,1658.832,1.0113817,1404.634,1,1329.952,1.2824962,1355.341,1,1460.835,0.8997412,1217.215,predicted protein [],,,,,,ABR-0081753
A_07_P041114,1,1753.847,0.9597853,1409.326,1,1309.107,1.2947338,1346.828,1,1369.928,0.857904,1088.391,predicted protein [],,,,,,ABR-0081754
A_07_P035526,1,3449.473,0.7917367,2286.542,1,3046.376,0.86875635,2102.994,1,2968.728,0.7789684,2141.602,conserved inner membrane protein [],,,,,,ABR-0081758
A_07_P058988,1,924.1051,1.8018789,1394.096,1,399.74,2.9535606,938.1666,1,483.5048,1.9324462,865.2801,ToxR-regulated lipoprotein [],,,,,,ACA-0244188
A_07_P058995,1,691.9854,1.9303408,1118.347,1,304.026,3.317492,801.4513,1,385.1082,1.7767252,633.653,Type II secretion pathway related protein [],,,,,,ACA-0244189
A_07_P058997,1,301.027,2.4698408,622.4724,0.99999994,170.9215,2.9959972,406.9065,1,192.2911,2.1309452,379.4723,Type II secretion pathway related protein [],,,,,,ACA-0244190
A_07_P059001,1,268.1849,2.0519438,460.7289,1,132.6518,3.015618,317.8674,1,134.8371,2.3855069,297.8781,Type II secretion pathway related protein [],,,,,,ACA-0244191
A_07_P059006,1,746.1774,2.0618005,1288.055,1,364.5919,2.96387,858.6629,0.99999994,420.8865,2.107688,821.5232,Type II secretion pathway related protein [],,,,,,ACA-0244192
A_07_P059014,1,303.5551,2.3752015,603.6479,1,181.638,3.0942557,446.6007,1,193.9371,2.2498803,404.0814,Type II secretion pathway related protein [],,,,,,ACA-0244193
A_07_P059018,0.99999994,668.8831,1.1414509,639.2241,1,178.85,2.9804385,423.5704,1,203.1023,2.1780047,409.6587,Type II secretion pathway related protein [],,,,,,ACA-0244194
A_07_P059025,1,393.6802,2.2962666,756.8531,1,202.8622,3.0295436,488.3542,1,226.7398,2.2333715,468.9616,Type II secretion pathway related protein [],,,,,,ACA-0244195
A_07_P059030,1,216.6645,2.696613,489.1613,0.99999994,130.8278,3.1926863,331.9043,0.99999994,144.9613,2.3646724,317.4473,Type II secretion pathway related protein [],,,,,,ACA-0244196
A_07_P059035,1,262.3836,2.508495,551.0559,1,149.4928,2.7891831,331.3247,1,432.2737,0.8219871,329.0579,Type II secretion pathway related protein [],,,,,,ACA-0244197
A_07_P059039,1,403.567,1.6514338,557.9849,1,172.6693,2.7058566,371.2585,1,170.7625,2.5784981,407.763,Type II secretion pathway related protein [],,,,,,ACA-0244198
A_07_P059043,1,1072.361,1.4525694,1304.138,1,394.7285,2.744564,860.8517,1,422.7521,1.3388119,524.1479,Type II secretion pathway related protein [],,,,,,ACA-0244199
A_07_P059049,1,446.23,1.9851239,741.6381,1,205.5376,3.3346493,544.6255,1,243.9278,1.4563009,328.9735,Type II secretion pathway related protein [],,,,,,ACA-0244200
A_07_P059054,1,1149.682,1.757738,1691.911,1,468.5653,3.2649956,1215.652,1,569.2236,1.1138768,587.1764,Type II secretion pathway related protein [],,,,,,ACA-0244201
A_07_P062880,1,4308.263,0.82139474,2962.783,1,3029.792,1.0198786,2455.375,1,2007.589,0.98231643,1826.311,predicted protein [],,,,,,ACA-0244202
A_07_P059059,1,580.6748,1.5735482,764.9952,1,264.5574,3.019056,634.6695,0.99999994,300.9118,1.2431495,346.4265,Hemolysin C [],,,,,,ACA-0244204
A_07_P059065,1,930.2705,0.59649897,464.5844,0.99999994,279.3997,2.497111,554.3963,1,312.4714,1.2358714,357.6285,Hemolysin A [],,,,,,ACA-0244205
A_07_P059069,1,1077.382,0.80681425,727.7612,1,394.0245,2.7963476,875.5297,1,474.1932,1.1685243,513.1468,Hemolysin B [],,,,,,ACA-0244206
A_07_P059074,1,738.1627,0.85551256,528.7181,1,301.3836,2.2704272,543.7305,0.99999994,324.8471,1.527497,459.5237,Hemolysin D [],,,,,,ACA-0244207
A_07_P059076,1,667.6334,1.2059268,674.0695,0.99999994,297.2512,3.3199131,784.1639,1,370.7958,1.4601501,501.396,PapX protein [],,,,,,ACA-0244208
A_07_P059085,1,985.1466,1.441908,1189.28,0.99999994,468.6052,3.5764747,1331.738,1,597.2898,1.3968893,772.6728,recombinase [],,,,,,ACA-0244209
A_07_P059088,1,1240.598,1.1114928,1154.472,1,515.3845,3.4160597,1398.986,0.99999994,709.541,1.1472762,753.8657,predicted protein [],,,,,,ACA-0244210
A_07_P059091,1,152.3874,1.4478949,184.7276,1,85.25079,2.778262,188.2037,1,105.8328,1.6490042,161.6183,RepFIB [],,,,,,ACA-0244211
A_07_P059098,1,205.1495,1.3416203,230.4336,1,123.9761,2.6730425,263.33,1,140.5638,1.6720606,217.6577,predicted protein [],,,,,,ACA-0244212
A_07_P059101,1,267.1518,1.4049076,314.2328,1,151.3905,2.72099,327.3272,1,179.6154,1.8098923,301.0543,predicted protein [],,,,,,ACA-0244213
A_07_P059106,0.99999994,1380.438,0.89150596,1030.355,1,429.3776,2.8866355,984.8902,1,676.9395,1.3486791,845.4871,KfrAs [],,,,,,ACA-0244214
A_07_P059115,1,645.7275,1.1194787,605.2165,0.99999994,264.0978,2.9058259,609.8049,1,419.3618,1.2749027,495.1245,LetA protein [],,,,,,ACA-0244215
A_07_P059118,1,859.9946,1.1039139,794.8343,1,359.2238,3.081955,879.727,1,465.9407,1.310884,565.6443,cytotoxic protein LetB [],,,,,,ACA-0244216
A_07_P059124,1,140.0593,1.2408308,145.5024,1,75.20167,2.7681901,165.4169,1,301.0345,0.98405063,274.3356,resolvase [],,,,,,ACA-0244217
A_07_P059128,1,700.9123,1.0106415,593.0707,1,234.8756,3.858501,720.1335,1,351.8301,1.5266958,497.4324,SopA protein [],,,,,,ACA-0244222
A_07_P059131,1,1247.564,1.0265523,1072.234,1,479.1308,2.990844,1138.687,0.99999994,611.2846,1.4198025,803.7481,SopB protein [],,,,,,ACA-0244223
A_07_P059138,1,107.7345,1.2884016,116.2122,1,59.55972,2.6513162,125.4789,1,70.04219,1.6475132,106.8654,reverse transcriptase [],,,,,,ACA-0244224
A_07_P059144,1,729.043,0.9765214,596.0471,1,260.1428,2.91491,602.5506,1,345.2331,1.3740028,439.2872,predicted protein [],,,,,,ACA-0244225
A_07_P059149,1,92.53466,1.4792944,114.6053,1,58.53153,2.5608187,119.1037,0.99999994,68.0076,1.6992073,107.0169,predicted protein [],,,,,,ACA-0244226
A_07_P059154,1,482.0166,1.3499709,544.7937,1,257.5498,3.052349,624.6719,1,391.8907,1.260915,457.614,hemagglutinin-associated protein [],,,,,,ACA-0244227
A_07_P059159,1,787.2538,0.9873838,650.7983,1,328.4835,2.6711342,697.2135,1,339.6126,1.3614514,428.188,predicted protein [],,,,,,ACA-0244228
A_07_P059162,1,304.9417,1.065403,272.0047,1,129.541,2.7035027,278.2855,1,174.3025,1.5327767,247.4179,predicted protein [],,,,,,ACA-0244229
A_07_P059166,1,357.788,1.3243145,396.7003,1,167.6661,2.5688426,342.2467,1,212.2411,1.5038506,295.5852,predicted protein [],,,,,,ACA-0244230
A_07_P059174,1,270.5368,1.1552761,261.6723,1,123.1278,2.6136074,255.7131,1,159.0025,1.635709,240.8566,antirestriction protein KlcA [],,,,,,ACA-0244231
A_07_P059177,0.99999994,344.8042,1.0751889,310.3866,0.99999994,137.069,2.800168,304.986,1,173.4037,1.3675643,219.6113,predicted protein [],,,,,,ACA-0244232
A_07_P059181,1,519.9392,1.2464198,542.5785,1,257.4513,3.7961516,776.596,1,362.2555,1.5348772,514.9169,predicted protein [],,,,,,ACA-0244233
A_07_P059188,1,118.6172,1.4011599,139.1493,1,69.90006,2.389951,132.7465,1,77.95363,1.5923191,114.9516,predicted protein [],,,,,,ACA-0244234
A_07_P059192,1,200.3383,1.116849,187.3286,1,112.7072,2.139979,191.6539,0.99999994,111.642,1.6471288,170.2957,predicted protein [],,,,,,ACA-0244235
A_07_P059196,1,667.9125,1.0652791,595.7014,1,267.555,3.187006,677.5674,1,402.7753,1.1964661,446.2844,predicted protein [],,,,,,ACA-0244236
A_07_P059203,1,590.7796,1.1405933,564.1596,1,346.5526,2.3145287,637.3651,1,399.7682,1.0957515,405.6662,predicted protein [],,,,,,ACA-0244237
A_07_P059210,1,388.7936,1.2271426,399.4476,1,182.0954,2.9598374,428.2756,1,230.6752,1.7757913,379.3511,single-strand binding protein [],,,,,,ACA-0244238
A_07_P059212,1,571.5317,1.125936,538.7654,1,243.5266,2.8454013,550.613,1,288.0452,1.8570354,495.3696,predicted protein [],,,,,,ACA-0244239
A_07_P059219,1,515.7487,1.1816648,510.2443,1,229.6135,2.836383,517.5101,1,317.4748,1.3407145,394.1795,predicted protein [],,,,,,ACA-0244240
A_07_P059225,1,469.1583,1.2035685,472.7547,1,209.1671,2.8256004,469.6352,1,280.9798,1.5236264,396.4625,predicted protein [],,,,,,ACA-0244241
A_07_P059230,1,87.93156,1.2110053,89.15311,1,45.19543,2.6018205,93.43905,1,51.48607,1.7078565,81.43098,Stable plasmid inheritance protein (F leading maintenance protein) [],,,,,,ACA-0244242
A_07_P059232,1,1701.623,0.92457414,1317.197,1,581.0216,3.1189141,1439.966,1,854.5401,1.0836731,857.5891,NikB [],,,,,,ACA-0244243
A_07_P059237,1,200.4292,1.3124199,220.2315,1,106.833,3.0183227,256.2286,1,122.2485,1.6278988,184.2975,predicted protein [],,,,,,ACA-0244244
A_07_P059245,1,145.7842,1.5393248,187.8825,1,84.1393,2.9630873,198.107,1,104.775,1.8004241,174.6952,transposase Tra5 [],,,,,,ACA-0244245
A_07_P059250,1,401.5423,1.497913,503.5743,1,226.497,3.2556646,585.9474,1,316.2091,1.533062,448.9341,transposase [],,,,,,ACA-0244246
A_07_P059251,1,359.0169,1.5627037,469.718,1,192.7435,2.693644,412.5499,1,242.5137,1.4900886,334.6547,Toxin B [],,,,,,ACA-0244247
A_07_P059260,1,845.6622,1.0717993,758.8501,1,353.3515,2.5032716,702.8642,1,374.4881,1.1535149,400.0458,transposase Tra5 [],,,,,,ACA-0244248
A_07_P059264,1,6224.455,0.9148098,4767.359,1,4524.532,1.1965393,4301.869,1,4590.804,0.82508063,3507.791,predicted protein [],,,,,,ACA-0244249
A_07_P059269,1,612.8037,1.3714379,703.6282,1,252.7832,3.2113297,645.0445,1,348.1768,1.4014345,451.878,TraX protein [],,,,,,ACA-0244251
A_07_P059273,1,499.7789,1.4494435,606.4917,0.99999994,209.0103,2.997222,497.7865,1,287.4506,1.4693903,391.155,predicted protein [],,,,,,ACA-0244252
A_07_P059278,1,388.096,2.0220647,657.022,1,202.1319,3.223475,517.7448,1,227.163,1.5101478,317.6915,fertility inhibition protein [],,,,,,ACA-0244253
A_07_P059284,1,876.2412,1.5452628,1133.631,1,363.308,3.2642636,942.3597,1,591.2473,1.3479077,738.0365,predicted protein [],,,,,,ACA-0244254
A_07_P059287,1,461.4276,1.6074774,621.0036,1,200.9316,3.2703269,522.1507,1,296.1621,1.5578852,427.2809,predicted protein [],,,,,,ACA-0244255
A_07_P059294,1,90.54954,1.8973699,143.8414,1,56.61235,2.577875,115.9657,1,54.46097,1.8492222,93.26592,Replication protein [],,,,,,ACA-0244256
A_07_P059299,1,252.727,1.9631681,415.3888,1,136.5852,2.9373355,318.7966,0.99999994,184.5381,1.6021389,273.8008,Replication protein [],,,,,,ACA-0244257
A_07_P059303,1,698.0351,1.3272955,775.6943,1,268.7554,3.18292,679.7347,1,327.6567,1.5753565,478.0204,predicted protein [],,,,,,ACA-0244258
A_07_P059309,1,655.185,1.4927545,818.838,1,255.7713,3.0598023,621.873,1,391.2173,1.4171554,513.4333,predicted protein [],,,,,,ACA-0244259
A_07_P059314,1,382.3767,1.469035,470.2938,1,179.2794,2.650066,377.5232,1,257.6242,1.3053453,311.4301,predicted protein [],,,,,,ACA-0244260
A_07_P059325,1,429.7159,1.7219167,619.497,1,188.3018,3.5498893,531.1606,1,324.7218,2.1143548,635.8254,transposase [],,,,,,ACA-0244263
A_07_P059329,1,252.3596,1.6542331,349.5121,1,140.8347,2.7255461,305.014,1,229.6597,1.3393545,284.8583,Catalase-peroxidase [],,,,,,ACA-0244264
A_07_P059331,1,339.4867,2.5462549,723.7196,0.99999994,148.9405,3.6472812,431.6569,1,204.0015,2.6843262,507.1275,serine protease EspP [],,,,,,ACA-0244267
A_07_P059340,1,346.4911,3.0947127,897.7555,1,181.4654,3.4055288,491.0604,1,257.642,2.583856,616.5006,predicted protein [],,,,,,ACA-0244268
A_07_P059342,1,541.3432,2.3254101,1053.945,1,218.9677,3.5265155,613.5958,1,295.0176,2.7197013,743.0493,predicted protein [],,,,,,ACA-0244269
A_07_P059347,1,774.8626,2.6097405,1693.042,0.99999994,327.2986,3.6745923,955.6742,1,474.8226,2.5544083,1123.234,hypothetical 66.6 kD protein in FRWD-PPC intergenic region [],,,,,,ACA-0244270
A_07_P059352,0.99999994,236.2158,3.4687865,686.0128,1,122.6735,3.8088937,371.2839,0.99999994,177.0859,2.7019343,443.1057,Lipid A biosynthesis (Kdo)2-(lauroyl)-lipid IVA acyltransferase [],,,,,,ACA-0244271
A_07_P059360,0.99999994,0.6874872,1.1106162,0.6392553,1,0.6817411,2.1317856,1.154834,1,0.7367529,5.4045186,3.687461,plasmid mobilization [],,,,,,ACA-0244273
A_07_P059365,0.99999994,0.6963752,0.63669866,0.3712128,1,0.8114767,0.6842246,0.4411957,1,0.4622852,9.432488,4.038172,predicted protein [],,,,,,ACA-0244274
A_07_P059368,0.99999994,1.720921,0.30684996,0.4421124,1,0.8811321,0.70626074,0.4944958,1,0.4941685,10.158069,4.648734,predicted protein [],,,,,,ACA-0244275
A_07_P058982,1,64.79365,2.1302092,115.5581,1,32.81304,0.9058737,23.6195,0.99999994,109.634,5.390789,547.3261,conserved protein [],,,,,,ACA-0285019
A_07_P058890,1,10468.28,0.9161795,8029.741,0.99999994,10943.73,0.9612602,8359.165,0.99999994,10012.59,0.8499438,7881.07,predicted aminopeptidase [],,,,,,ACA-0285081
A_07_P062804,1,1667.76,1.3418707,1873.656,1,1769.675,1.2150978,1708.682,1,1435.918,1.314281,1747.698,predicted protein [],,,,,,ACA-0285110
A_07_P062850,1,1801.984,0.7687717,1159.829,1,1814.202,0.63014245,908.4079,0.99999994,1714.037,0.73408175,1165.234,"toxic polypeptide, small []",,,,,,ACA-0285117
A_07_P010704,1,1816.514,0.8310272,1263.862,0.99999994,1960.498,0.7789707,1213.512,1,1735.214,0.86446476,1389.149,"aspartokinase I, homoserine dehydrogenase I [b0002]",thrA,fused aspartokinase I and homoserine dehydrogenase I,GO:0005737(cytoplasm)|GO:0009086(methionine biosynthetic process)|GO:0009088(threonine biosynthetic process)|GO:0009090(homoserine biosynthetic process),chr:2240-2299,945803,b0002
A_07_P010710,0.99999994,1202.068,0.8726344,878.2276,0.99999994,1253.23,0.8466757,843.1492,1,1041.303,0.92001605,887.199,homoserine kinase [b0003],thrB,homoserine kinase,GO:0005737(cytoplasm)|GO:0009088(threonine biosynthetic process),chr:3647-3706,947498,b0003
A_07_P010711,1,3278.438,0.8775274,2408.648,1,3358.976,0.8588904,2292.457,1,2895.768,0.8743598,2344.782,threonine synthase [b0004],thrC,threonine synthase,GO:0005737(cytoplasm)|GO:0009088(threonine biosynthetic process),chr:4324-4383,945198,b0004
A_07_P010719,1,4221.882,0.9127502,3226.292,0.99999994,4348.812,0.9009595,3113.382,1,4146.632,0.80816483,3103.444,"orf, hypothetical protein [b0005]",yaaX,predicted protein,,chr:5302-5361,944747,b0005
A_07_P010722,0.99999994,2258.6,0.76996815,1455.988,1,2233.754,0.81198007,1441.243,1,1726.319,0.9487978,1516.852,"orf, hypothetical protein [b0006]",yaaA,conserved protein,,chr:5820-5761,944749,b0006
