gi|38704121|ref|NP_311708.2|	hypothetical protein ECs3681	ECs3681	NA
gi|15832679|ref|NP_311452.1|	tRNA-specific adenosine deaminase	ECs3425	NA
gi|15832638|ref|NP_311411.1|	anaerobic dimethyl sulfoxide reductase subunit A	ECs3384	NA
gi|15831421|ref|NP_310194.1|	minor tail protein	ECs2167	NA
gi|15832639|ref|NP_311412.1|	penicillin-binding protein 1C	ECs3385	NA
gi|15833494|ref|NP_312267.1|	dehydrogenase	ECs4240	NA
gi|15833453|ref|NP_312226.1|	hypothetical protein ECs4199	ECs4199	NA
gi|15834461|ref|NP_313234.1|	transport system permease	ECs5207	NA
gi|38704160|ref|NP_312224.2|	hypothetical protein ECs4197	ECs4197	NA
gi|15832495|ref|NP_311268.1|	galactoside permease	ECs3241	lacY
gi|15832143|ref|NP_310916.1|	hypothetical protein ECs2889	ECs2889	NA
gi|15832140|ref|NP_310913.1|	signal transduction histidine-protein kinase BaeS	ECs2886	NA
gi|15832141|ref|NP_310914.1|	BaeR family transcriptional regulator	ECs2887	NA
gi|15832146|ref|NP_310919.1|	lipid kinase	ECs2892	NA
gi|15832147|ref|NP_310920.1|	split galactitol utilization operon repressor	ECs2893	NA
gi|15832144|ref|NP_310917.1|	hypothetical protein ECs2890	ECs2890	NA
gi|15832145|ref|NP_310918.1|	hypothetical protein ECs2891	ECs2891	NA
gi|15834508|ref|NP_313281.1|	hypothetical protein ECs5254	ECs5254	NA
gi|15832148|ref|NP_310921.1|	galactitol-1-phosphate dehydrogenase	ECs2894	NA
gi|15832149|ref|NP_310922.1|	PTS system galactitol-specific enzyme IIC	ECs2895	NA
gi|162139730|ref|NP_313346.2|	phosphoglycerol transferase I	ECs5319	NA
gi|38704086|ref|NP_311336.2|	hypothetical protein ECs3309	ECs3309	NA
gi|15830489|ref|NP_309262.1|	hypothetical protein ECs1235	ECs1235	NA
gi|15830488|ref|NP_309261.1|	outer membrane protein	ECs1234	NA
gi|15831170|ref|NP_309943.1|	O-6-alkylguanine-DNA:cysteine-protein methyltransferase	ECs1916	NA
gi|15831171|ref|NP_309944.1|	hypothetical protein ECs1917	ECs1917	NA
gi|15831177|ref|NP_309950.1|	DNA-binding transcriptional regulator	ECs1923	NA
gi|15831174|ref|NP_309947.1|	pump protein	ECs1920	NA
gi|15831175|ref|NP_309948.1|	hypothetical protein ECs1921	ECs1921	NA
gi|15830481|ref|NP_309254.1|	hypothetical protein ECs1227	ECs1227	NA
gi|15830480|ref|NP_309253.1|	hypothetical protein ECs1226	ECs1226	NA
gi|15830483|ref|NP_309256.1|	hypothetical protein ECs1229	ECs1229	NA
gi|15830482|ref|NP_309255.1|	tail fiber protein	ECs1228	NA
gi|15830485|ref|NP_309258.1|	outer membrane protein	ECs1231	NA
gi|15830484|ref|NP_309257.1|	hypothetical protein ECs1230	ECs1230	NA
gi|15830487|ref|NP_309260.1|	tail tip fiber protein	ECs1233	NA
gi|15830486|ref|NP_309259.1|	hypothetical protein ECs1232	ECs1232	NA
gi|15831770|ref|NP_310543.1|	hypothetical protein ECs2516	ECs2516	NA
gi|15831771|ref|NP_310544.1|	hypothetical protein ECs2517	ECs2517	NA
gi|15831772|ref|NP_310545.1|	hypothetical protein ECs2518	ECs2518	NA
gi|15829718|ref|NP_308491.1|	nucleoside-specific channel-forming protein Tsx	ECs0464	NA
gi|15831594|ref|NP_310367.1|	electron transport complex protein RnfG	ECs2340	NA
gi|15831775|ref|NP_310548.1|	para-aminobenzoate synthase component I	ECs2521	NA
gi|15831776|ref|NP_310549.1|	hypothetical protein ECs2522	ECs2522	NA
gi|15831777|ref|NP_310550.1|	L-serine dehydratase 1	ECs2523	NA
gi|15829713|ref|NP_308486.1|	preprotein translocase subunit SecD	ECs0459	secD
gi|15829712|ref|NP_308485.1|	preprotein translocase subunit YajC	ECs0458	yajC
gi|15829711|ref|NP_308484.1|	queuine tRNA-ribosyltransferase	ECs0457	tgt
gi|15829710|ref|NP_308483.1|	S-adenosylmethionine--tRNA ribosyltransferase-isomerase	ECs0456	queA
gi|15829717|ref|NP_308490.1|	hypothetical protein ECs0463	ECs0463	NA
gi|15829716|ref|NP_308489.1|	hypothetical protein ECs0462	ECs0462	NA
gi|15829715|ref|NP_308488.1|	hypothetical protein ECs0461	ECs0461	NA
gi|15829714|ref|NP_308487.1|	preprotein translocase subunit SecF	ECs0460	secF
gi|38704130|ref|NP_311851.2|	hypothetical protein ECs3824	ECs3824	NA
gi|15834214|ref|NP_312987.1|	hypothetical protein ECs4960	ECs4960	NA
gi|15833387|ref|NP_312160.1|	DNA-binding protein Fis	ECs4133	fis
gi|15832103|ref|NP_310876.1|	colanic acid biosynthesis glycosyl transferase	ECs2849	NA
gi|15833309|ref|NP_312082.1|	phosphoglucosamine mutase	ECs4055	glmM
gi|15833308|ref|NP_312081.1|	preprotein translocase subunit SecG	ECs4054	secG
gi|15833307|ref|NP_312080.1|	alkaline phosphatase	ECs4053	NA
gi|15833306|ref|NP_312079.1|	argininosuccinate synthase	ECs4052	NA
gi|15833304|ref|NP_312077.1|	transcription elongation factor NusA	ECs4050	nusA
gi|15833303|ref|NP_312076.1|	translation initiation factor IF-2	ECs4049	infB
gi|15832315|ref|NP_311088.1|	bifunctional PTS system fructose-specific transporter subunit IIA/HPr protein	ECs3061	NA
gi|15833301|ref|NP_312074.1|	tRNA pseudouridine synthase B	ECs4047	truB
gi|15833300|ref|NP_312073.1|	30S ribosomal protein S15	ECs4046	rpsO
gi|38704131|ref|NP_311862.2|	hypothetical protein ECs3835	ECs3835	NA
gi|15832314|ref|NP_311087.1|	1-phosphofructokinase	ECs3060	fruK
gi|15833568|ref|NP_312341.1|	16S rRNA m(2)G966-methyltransferase	ECs4314	rsmD
gi|15833383|ref|NP_312156.1|	hypothetical protein ECs4129	ECs4129	NA
gi|15833938|ref|NP_312711.1|	flavodoxin	ECs4684	NA
gi|15833385|ref|NP_312158.1|	50S ribosomal protein L11 methyltransferase	ECs4131	prmA
gi|15833382|ref|NP_312155.1|	acetyl-CoA carboxylase biotin carboxylase subunit	ECs4128	NA
gi|15831596|ref|NP_310369.1|	endonuclease III	ECs2342	NA
gi|15832095|ref|NP_310868.1|	perosamine synthetase	ECs2841	NA
gi|15832096|ref|NP_310869.1|	O antigen flippase	ECs2842	NA
gi|15832097|ref|NP_310870.1|	glycosyl transferase family protein	ECs2843	NA
gi|15830579|ref|NP_309352.1|	urease accessory protein UreE	ECs1325	ureE
gi|15830578|ref|NP_309351.1|	urease subunit alpha	ECs1324	ureC
gi|15832092|ref|NP_310865.1|	fucose synthetase	ECs2838	NA
gi|15832093|ref|NP_310866.1|	GDP-D-mannose dehydratase	ECs2839	NA
gi|15830575|ref|NP_309348.1|	hypothetical protein ECs1321	ECs1321	NA
gi|15830574|ref|NP_309347.1|	hypothetical protein ECs1320	ECs1320	NA
gi|15830577|ref|NP_309350.1|	urease subunit beta	ECs1323	ureB
gi|15830576|ref|NP_309349.1|	urease subunit gamma	ECs1322	ureA
gi|15830571|ref|NP_309344.1|	outer membrane protein	ECs1317	NA
gi|15830570|ref|NP_309343.1|	diacylglycerol kinase	ECs1316	NA
gi|15830573|ref|NP_309346.1|	hypothetical protein ECs1319	ECs1319	NA
gi|15831684|ref|NP_310457.1|	hypothetical protein ECs2430	ECs2430	NA
gi|15831685|ref|NP_310458.1|	hypothetical protein ECs2431	ECs2431	NA
gi|15830779|ref|NP_309552.1|	hypothetical protein ECs1526	ECs1526	NA
gi|15830778|ref|NP_309551.1|	antitermination protein	ECs1524	NA
gi|15831680|ref|NP_310453.1|	threonyl-tRNA synthetase	ECs2426	NA
gi|15831681|ref|NP_310454.1|	hypothetical protein ECs2427	ECs2427	NA
gi|15831682|ref|NP_310455.1|	hypothetical protein ECs2428	ECs2428	NA
gi|15832257|ref|NP_311030.1|	hypothetical protein ECs3003	ECs3003	NA
gi|15830772|ref|NP_309545.1|	hypothetical protein ECs1518	ECs1518	NA
gi|15830771|ref|NP_309544.1|	hypothetical protein ECs1517	ECs1517	NA
gi|15830770|ref|NP_309543.1|	hypothetical protein ECs1516	ECs1516	NA
gi|15830777|ref|NP_309550.1|	crossover junction endodeoxyribonuclease	ECs1523	NA
gi|15830776|ref|NP_309549.1|	hypothetical protein ECs1522	ECs1522	NA
gi|15830775|ref|NP_309548.1|	hypothetical protein ECs1521	ECs1521	NA
gi|15830774|ref|NP_309547.1|	prophage maintenance protein	ECs1520	NA
gi|15832101|ref|NP_310874.1|	UDP-galactose 4-epimerase	ECs2847	NA
gi|15833360|ref|NP_312133.1|	cytochrome d ubiquinol oxidase subunit III	ECs4106	NA
gi|15832255|ref|NP_311028.1|	hypothetical protein ECs3001	ECs3001	NA
gi|15833766|ref|NP_312539.1|	50S ribosomal protein L28	ECs4512	rpmB
gi|15831982|ref|NP_310755.1|	minor tail protein	ECs2728	NA
gi|15829645|ref|NP_308418.1|	DNA-binding transcriptional regulator CynR	ECs0391	NA
gi|15831426|ref|NP_310199.1|	tail attachment protein	ECs2172	NA
gi|15831981|ref|NP_310754.1|	minor tail protein	ECs2727	NA
gi|15834065|ref|NP_312838.1|	acetyltransferase	ECs4811	NA
gi|15833232|ref|NP_312005.1|	hypothetical protein ECs3978	ECs3978	NA
gi|15832328|ref|NP_311101.1|	bicyclomycin/multidrug efflux system protein	ECs3074	NA
gi|15832329|ref|NP_311102.1|	16S rRNA pseudouridylate synthase A	ECs3075	NA
gi|15833237|ref|NP_312010.1|	hypothetical protein ECs3983	ECs3983	NA
gi|15832319|ref|NP_311092.1|	hypothetical protein ECs3065	ECs3065	NA
gi|15833235|ref|NP_312008.1|	hypothetical protein ECs3981	ECs3981	NA
gi|15833234|ref|NP_312007.1|	hypothetical protein ECs3980	ECs3980	NA
gi|15832322|ref|NP_311095.1|	hypothetical protein ECs3068	ECs3068	NA
gi|15831598|ref|NP_310371.1|	glutathionine S-transferase	ECs2344	NA
gi|15833239|ref|NP_312012.1|	cytochrome	ECs3985	NA
gi|15832318|ref|NP_311091.1|	oxidoreductase	ECs3064	NA
gi|15832326|ref|NP_311099.1|	ABC transporter ATP-binding protein	ECs3072	NA
gi|15832327|ref|NP_311100.1|	hypothetical protein ECs3073	ECs3073	NA
gi|15832324|ref|NP_311097.1|	transport system permease	ECs3070	NA
gi|15831599|ref|NP_310372.1|	pyridoxamine kinase	ECs2345	NA
gi|15833558|ref|NP_312331.1|	branched-chain amino acid transporter permease LivH	ECs4304	NA
gi|15831358|ref|NP_310131.1|	transcriptional regulator YdeO	ECs2104	NA
gi|15831359|ref|NP_310132.1|	hypothetical protein ECs2105	ECs2105	NA
gi|38703939|ref|NP_944521.1|	hypothetical protein ECs5419	ECs5419	NA
gi|38703938|ref|NP_944520.1|	hypothetical protein ECs5418	ECs5418	NA
gi|15829644|ref|NP_308417.1|	cytosine deaminase	ECs0390	NA
gi|38703935|ref|NP_309516.2|	hypothetical protein ECs1489	ECs1489	NA
gi|38703934|ref|NP_309513.2|	hypothetical protein ECs1486	ECs1486	NA
gi|38703937|ref|NP_944519.1|	hypothetical protein ECs5417	ECs5417	NA
gi|38703936|ref|NP_309522.2|	lipoprotein transporter ATP-binding protein	ECs1495	lolD
gi|38703931|ref|NP_309470.2|	multidrug resistance protein MdtH	ECs1443	NA
gi|15831357|ref|NP_310130.1|	sulfatase	ECs2103	NA
gi|38703933|ref|NP_309508.2|	purine nucleoside phosphoramidase	ECs1481	NA
gi|38703932|ref|NP_309485.2|	flagellar basal body P-ring protein	ECs1458	flgI
gi|15831198|ref|NP_309971.1|	hypothetical protein ECs1944	ECs1944	NA
gi|15831199|ref|NP_309972.1|	replication protein	ECs1945	NA
gi|229544782|ref|NP_310110.2|	malate dehydrogenase	ECs2083	NA
gi|229544783|ref|NP_308066.2|	carnitinyl-CoA dehydratase	ECs0039	NA
gi|15831595|ref|NP_310368.1|	electron transport complex protein RsxE	ECs2341	NA
gi|15831190|ref|NP_309963.1|	FtsZ inhibitor protein	ECs1936	kil
gi|15831192|ref|NP_309965.1|	hypothetical protein ECs1939	ECs1939	NA
gi|15831733|ref|NP_310506.1|	DeoR family transcriptional regulator	ECs2479	NA
gi|15831194|ref|NP_309967.1|	hypothetical protein ECs1940	ECs1940	NA
gi|15831195|ref|NP_309968.1|	transcriptional regulator	ECs1941	NA
gi|15831196|ref|NP_309969.1|	regulatory protein	ECs1942	NA
gi|15831197|ref|NP_309970.1|	hypothetical protein ECs1943	ECs1943	NA
gi|15834492|ref|NP_313265.1|	hypothetical protein ECs5238	ECs5238	NA
gi|15830603|ref|NP_309376.1|	hypothetical protein ECs1349	ECs1349	NA
gi|15834490|ref|NP_313263.1|	DNA polymerase III subunit chi	ECs5236	NA
gi|15831597|ref|NP_310370.1|	tripeptide transporter permease	ECs2343	tppB
gi|15829647|ref|NP_308420.1|	cyanate hydratase	ECs0393	NA
gi|15834497|ref|NP_313270.1|	transposase	ECs5243	NA
gi|15834494|ref|NP_313267.1|	hypothetical protein ECs5240	ECs5240	NA
gi|15830602|ref|NP_309375.1|	hypothetical protein ECs1348	ECs1348	NA
gi|15831590|ref|NP_310363.1|	Na(+)-translocating NADH-quinone reductase subunit E	ECs2336	NA
gi|15834498|ref|NP_313271.1|	transposase	ECs5244	NA
gi|15831049|ref|NP_309822.1|	portal protein	ECs1795	NA
gi|15831591|ref|NP_310364.1|	electron transport complex protein RnfB	ECs2337	NA
gi|15834057|ref|NP_312830.1|	hypothetical protein ECs4803	ECs4803	NA
gi|15831046|ref|NP_309819.1|	terminase large subunit	ECs1792	NA
gi|15830600|ref|NP_309373.1|	hypothetical protein ECs1346, partial	ECs1346	NA
gi|15831592|ref|NP_310365.1|	electron transport complex protein RnfC	ECs2338	NA
gi|15831047|ref|NP_309820.1|	major head protein/prohead protease	ECs1793	NA
gi|15830607|ref|NP_309380.1|	protein TerB	ECs1353	NA
gi|15831593|ref|NP_310366.1|	electron transport complex protein RnfD	ECs2339	rnfD
gi|15831083|ref|NP_309856.1|	hypothetical protein ECs1829	ECs1829	NA
gi|15830606|ref|NP_309379.1|	protein TerA	ECs1352	NA
gi|15833127|ref|NP_311900.1|	bifunctional glutathionylspermidine amidase/glutathionylspermidine synthetase	ECs3873	NA
gi|15833126|ref|NP_311899.1|	low-affinity phosphate transport protein	ECs3872	NA
gi|15833125|ref|NP_311898.1|	hypothetical protein ECs3871	ECs3871	NA
gi|15830127|ref|NP_308900.1|	hypothetical protein ECs0873	ECs0873	NA
gi|15830605|ref|NP_309378.1|	protein TerZ	ECs1351	NA
gi|15832439|ref|NP_311212.1|	hypothetical protein ECs3185	ECs3185	NA
gi|15832437|ref|NP_311210.1|	regulator	ECs3183	NA
gi|15832434|ref|NP_311207.1|	acetate kinase	ECs3180	NA
gi|15830604|ref|NP_309377.1|	hypothetical protein ECs1350	ECs1350	NA
gi|15830348|ref|NP_309121.1|	hypothetical protein ECs1094	ECs1094	NA
gi|15832430|ref|NP_311203.1|	transporter	ECs3176	NA
gi|15832431|ref|NP_311204.1|	phosphatase	ECs3177	NA
gi|15833991|ref|NP_312764.1|	frataxin-like protein	ECs4738	cyaY
gi|162139821|ref|NP_308064.2|	CaiF family transcriptional regulator	ECs0037	NA
gi|15831228|ref|NP_310001.1|	portal protein	ECs1974	NA
gi|162139820|ref|NP_308071.2|	electron transfer flavoprotein FixA	ECs0044	NA
gi|15831226|ref|NP_309999.1|	phage major head protein/prohead protease	ECs1972	NA
gi|15831224|ref|NP_309997.1|	terminase small subunit	ECs1970	NA
gi|15831225|ref|NP_309998.1|	terminase large subunit	ECs1971	NA
gi|15831222|ref|NP_309995.1|	DNase	ECs1968	NA
gi|38704011|ref|NP_310483.2|	hypothetical protein ECs2456	ECs2456	NA
gi|15831220|ref|NP_309993.1|	endopeptidase	ECs1966	NA
gi|15831221|ref|NP_309994.1|	hypothetical protein ECs1967	ECs1967	NA
gi|15830608|ref|NP_309381.1|	protein TerC	ECs1354	NA
gi|15830809|ref|NP_309582.1|	minor tail protein	ECs1555	NA
gi|15830808|ref|NP_309581.1|	minor tail protein	ECs1554	NA
gi|15834125|ref|NP_312898.1|	hydroperoxidase HPI(I)	ECs4871	NA
gi|15830805|ref|NP_309578.1|	phage tail protein	ECs1551	NA
gi|15830804|ref|NP_309577.1|	tail assembly chaperone	ECs1550	NA
gi|15833458|ref|NP_312231.1|	hydrolase	ECs4204	NA
gi|15830801|ref|NP_309574.1|	hypothetical protein ECs1547	ECs1547	NA
gi|15830800|ref|NP_309573.1|	head-tail adapotor	ECs1546	NA
gi|15830803|ref|NP_309576.1|	major tail subunit	ECs1549	NA
gi|15830802|ref|NP_309575.1|	hypothetical protein ECs1548	ECs1548	NA
gi|15833457|ref|NP_312230.1|	ABC transporter ATP-binding protein	ECs4203	NA
gi|15833564|ref|NP_312337.1|	RNA polymerase factor sigma-32	ECs4310	NA
gi|15833456|ref|NP_312229.1|	glutathione-regulated potassium-efflux system ancillary protein KefG	ECs4202	NA
gi|15832550|ref|NP_311323.1|	thiosulfate transporter subunit	ECs3296	NA
gi|15832553|ref|NP_311326.1|	N-acetylmuramic acid 6-phosphate etherase	ECs3299	murQ
gi|38704014|ref|NP_310490.2|	thiosulfate sulfur transferase	ECs2463	NA
gi|15832555|ref|NP_311328.1|	hypothetical protein ECs3301	ECs3301	NA
gi|15830340|ref|NP_309113.1|	hypothetical protein ECs1086	ECs1086	NA
gi|15829640|ref|NP_308413.1|	methylcitrate synthase	ECs0386	NA
gi|15833981|ref|NP_312754.1|	common antigen polymerase	ECs4727	NA
gi|15833059|ref|NP_311832.1|	DNA-binding transcriptional regulator	ECs3805	NA
gi|15829268|ref|NP_308041.1|	molecular chaperone DnaK	ECs0014	dnaK
gi|15834105|ref|NP_312878.1|	glycerol kinase	ECs4851	glpK
gi|15831318|ref|NP_310091.1|	4-oxalocrotonate tautomerase	ECs2064	NA
gi|15833053|ref|NP_311826.1|	hypothetical protein ECs3799	ECs3799	NA
gi|15833052|ref|NP_311825.1|	erythrose 4-phosphate dehydrogenase	ECs3798	NA
gi|15833051|ref|NP_311824.1|	phosphoglycerate kinase	ECs3797	pgk
gi|15833050|ref|NP_311823.1|	fructose-bisphosphate aldolase	ECs3796	NA
gi|15833057|ref|NP_311830.1|	ABC transporter ATP-binding protein	ECs3803	NA
gi|15833056|ref|NP_311829.1|	ABC transporter ATP-binding protein	ECs3802	NA
gi|15833055|ref|NP_311828.1|	lipoprotein	ECs3801	NA
gi|15833054|ref|NP_311827.1|	transporter	ECs3800	NA
gi|15833563|ref|NP_312336.1|	periplasmic binding protein of high-affinity amino acid transport system	ECs4309	NA
gi|15833924|ref|NP_312697.1|	type 1 fimbrial protein	ECs4670	NA
gi|15833450|ref|NP_312223.1|	sulfur transfer complex subunit TusD	ECs4196	NA
gi|15832764|ref|NP_311537.1|	hypothetical protein ECs3510	ECs3510	NA
gi|15833516|ref|NP_312289.1|	hypothetical protein ECs4262	ECs4262	NA
gi|15831410|ref|NP_310183.1|	hypothetical protein ECs2156	ECs2156	NA
gi|15831319|ref|NP_310092.1|	hypothetical protein ECs2065	ECs2065	NA
gi|15833517|ref|NP_312290.1|	RNA 3'-terminal-phosphate cyclase	ECs4263	NA
gi|15833930|ref|NP_312703.1|	ATP synthase F0F1 subunit alpha	ECs4676	NA
gi|15833514|ref|NP_312287.1|	transcriptional regulator MalT	ECs4260	NA
gi|15834569|ref|NP_313342.1|	methyl-accepting chemotaxis protein I	ECs5315	NA
gi|15830971|ref|NP_309744.1|	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase	ECs1717	NA
gi|15830970|ref|NP_309743.1|	peptide chain release factor 1	ECs1716	prfA
gi|15830973|ref|NP_309746.1|	transcriptional regulator	ECs1719	NA
gi|15830972|ref|NP_309745.1|	transcriptional regulator	ECs1718	NA
gi|15830975|ref|NP_309748.1|	calcium/sodium:proton antiporter	ECs1721	NA
gi|15830974|ref|NP_309747.1|	2-dehydro-3-deoxyphosphooctonate aldolase	ECs1720	NA
gi|15830977|ref|NP_309750.1|	cation transport regulator	ECs1723	NA
gi|15830976|ref|NP_309749.1|	cation transport regulator	ECs1722	chaB
gi|15830979|ref|NP_309752.1|	hypothetical protein ECs1725	ECs1725	NA
gi|15830978|ref|NP_309751.1|	hypothetical protein ECs1724	ECs1724	NA
gi|15832885|ref|NP_311658.1|	transporter	ECs3631	NA
gi|15834271|ref|NP_313044.1|	maltose ABC transporter periplasmic protein	ECs5017	malE
gi|15831491|ref|NP_310264.1|	tail assembly protein	ECs2237	NA
gi|15834277|ref|NP_313050.1|	4-hydroxybenzoate octaprenyltransferase	ECs5023	ubiA
gi|15834274|ref|NP_313047.1|	maltose regulon periplasmic protein	ECs5020	NA
gi|15832828|ref|NP_311601.1|	formate hydrogenlyase maturation protein	ECs3574	NA
gi|15834479|ref|NP_313252.1|	hypothetical protein ECs5225	ECs5225	NA
gi|15833510|ref|NP_312283.1|	DNA uptake protein	ECs4256	NA
gi|15834058|ref|NP_312831.1|	aldolase	ECs4804	NA
gi|15834470|ref|NP_313243.1|	trehalose-6-phosphate hydrolase	ECs5216	NA
gi|15834471|ref|NP_313244.1|	PTS system trehalose(maltose)-specific transporter subunit IIBC	ECs5217	NA
gi|15834472|ref|NP_313245.1|	trehalose repressor	ECs5218	treR
gi|15833511|ref|NP_312284.1|	gluconate permease	ECs4257	NA
gi|15834474|ref|NP_313247.1|	hypothetical protein ECs5220	ECs5220	NA
gi|15834475|ref|NP_313248.1|	aspartate carbamoyltransferase	ECs5221	NA
gi|15833561|ref|NP_312334.1|	hypothetical protein ECs4307	ECs4307	NA
gi|15834477|ref|NP_313250.1|	pyrBI operon leader peptide	ECs5224	NA
gi|15829876|ref|NP_308649.1|	phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex	ECs0622	NA
gi|15829877|ref|NP_308650.1|	outer membrane receptor FepA	ECs0623	NA
gi|15829874|ref|NP_308647.1|	hypothetical protein ECs0620	ECs0620	NA
gi|15829875|ref|NP_308648.1|	hypothetical protein ECs0621	ECs0621	NA
gi|15829872|ref|NP_308645.1|	hypothetical protein ECs0618	ECs0618	NA
gi|15829873|ref|NP_308646.1|	carboxylate-amine ligase	ECs0619	NA
gi|15829870|ref|NP_308643.1|	dihydropteridine reductase	ECs0616	NA
gi|15829871|ref|NP_308644.1|	hypothetical protein ECs0617	ECs0617	NA
gi|38704177|ref|NP_312452.2|	phosphoethanolamine transferase	ECs4425	NA
gi|15831490|ref|NP_310263.1|	tail assembly protein	ECs2236	NA
gi|15833925|ref|NP_312698.1|	glucosamine--fructose-6-phosphate aminotransferase	ECs4671	NA
gi|15829878|ref|NP_308651.1|	enterobactin/ferric enterobactin esterase	ECs0624	NA
gi|15829879|ref|NP_308652.1|	enterobactin synthase subunit F	ECs0625	entF
gi|15829472|ref|NP_308245.1|	IcmF-like protein	ECs0218	NA
gi|15831991|ref|NP_310764.1|	transcriptional regulator	ECs2737	NA
gi|15829470|ref|NP_308243.1|	Hcp-like protein	ECs0216	NA
gi|15829471|ref|NP_308244.1|	hypothetical protein ECs0217	ECs0217	NA
gi|15829476|ref|NP_308249.1|	hypothetical protein ECs0222	ECs0222	NA
gi|15829477|ref|NP_308250.1|	ATP-dependent Clp proteinase ATP-binding chain	ECs0223	NA
gi|15829474|ref|NP_308247.1|	hypothetical protein ECs0220	ECs0220	NA
gi|15829475|ref|NP_308248.1|	hypothetical protein ECs0221	ECs0221	NA
gi|15831998|ref|NP_310771.1|	transposase	ECs2744	NA
gi|15831999|ref|NP_310772.1|	transposase	ECs2745	NA
gi|15829478|ref|NP_308251.1|	hypothetical protein ECs0224	ECs0224	NA
gi|15829479|ref|NP_308252.1|	hypothetical protein ECs0225	ECs0225	NA
gi|15833560|ref|NP_312333.1|	hypothetical protein ECs4306	ECs4306	NA
gi|15833513|ref|NP_312286.1|	maltodextrin phosphorylase	ECs4259	NA
gi|15834303|ref|NP_313076.1|	acetate permease	ECs5049	actP
gi|15833922|ref|NP_312695.1|	hypothetical protein ECs4668	ECs4668	NA
gi|15829270|ref|NP_308043.1|	Gef protein	ECs0016	NA
gi|15829271|ref|NP_308044.1|	pH-dependent sodium/proton antiporter	ECs0017	nhaA
gi|15829272|ref|NP_308045.1|	transcriptional activator NhaR	ECs0018	nhaR
gi|15829273|ref|NP_308046.1|	hypothetical protein ECs0019	ECs0019	NA
gi|15833448|ref|NP_312221.1|	sulfur transfer complex subunit TusB	ECs4194	NA
gi|15829275|ref|NP_308048.1|	hypothetical protein ECs0021	ECs0021	NA
gi|15829276|ref|NP_308049.1|	outer membrane usher protein	ECs0022	NA
gi|15829277|ref|NP_308050.1|	fimbrial chaperone	ECs0023	NA
gi|15829278|ref|NP_308051.1|	fimbrial protein	ECs0024	NA
gi|15829279|ref|NP_308052.1|	hypothetical protein ECs0025	ECs0025	NA
gi|15833446|ref|NP_312219.1|	30S ribosomal protein S7	ECs4192	NA
gi|15832989|ref|NP_311762.1|	hypothetical protein ECs3735	ECs3735	NA
gi|15833440|ref|NP_312213.1|	30S ribosomal protein S10	ECs4186	rpsJ
gi|15833441|ref|NP_312214.1|	hypothetical protein ECs4187	ECs4187	NA
gi|15833442|ref|NP_312215.1|	HopD	ECs4188	NA
gi|15832297|ref|NP_311070.1|	DNA-binding transcriptional regulator GalS	ECs3043	NA
